ID_EMPLOYEE,Tenure Range,GENDER,EMPLOYEE_TYPE,ENGAGEMENT_SCORE,AGE RANGE
1411,0-2 years,F,Permanent,0.78,23-26
1412,0-2 years,M,Permanent,0.61,23-26
1413,'+5 years,M,Permanent,0.67,26-30
1414,0-2 years,M,Permanent,0.6900000000000001,23-26
1415,0-2 years,M,Non Permanent,0.72,23-26
1416,2-5 years,M,Permanent,0.77,26-30
1417,0-2 years,M,Permanent,0.8300000000000001,26-30
1418,0-2 years,F,Permanent,0.79,23-26
1420,0-2 years,F,Permanent,0.61,23-26
1421,2-5 years,M,Permanent,0.47000000000000003,23-26
1422,0-2 years,F,Non Permanent,0.51,26-30
1423,0-2 years,F,Permanent,0.56,23-26
1424,'+5 years,M,Permanent,0.6,23-26
1425,'+5 years,M,Permanent,0.64,23-26
1426,'+5 years,M,Permanent,0.77,30-35
1427,0-2 years,M,Permanent,0.65,30-35
1428,0-2 years,M,Permanent,0.7000000000000001,23-26
1429,0-2 years,M,Permanent,0.45,23-26
1430,0-2 years,M,Permanent,0.79,26-30
1432,0-2 years,F,Permanent,0.36,26-30
1433,0-2 years,F,Non Permanent,0.65,26-30
1434,0-2 years,M,Non Permanent,0.49,23-26
1435,0-2 years,M,Permanent,0.66,23-26
1436,'+5 years,M,Permanent,0.55,26-30
1437,0-2 years,M,Non Permanent,0.61,23-26
1438,0-2 years,M,Non Permanent,0.5,23-26
1439,0-2 years,M,Non Permanent,0.66,26-30
1440,0-2 years,M,Permanent,0.6,23-26
1441,0-2 years,F,Permanent,0.7000000000000001,23-26
1442,0-2 years,M,Non Permanent,0.78,26-30
1443,0-2 years,M,Permanent,0.44,23-26
1444,2-5 years,F,Permanent,0.64,23-26
1445,'+5 years,M,Permanent,0.66,23-26
1446,2-5 years,F,Permanent,0.8,23-26
1447,0-2 years,F,Permanent,0.79,23-26
1448,0-2 years,M,Permanent,0.72,26-30
1449,0-2 years,M,Permanent,0.6900000000000001,23-26
1450,0-2 years,M,Permanent,0.46,23-26
1451,0-2 years,M,Permanent,0.5,23-26
1452,0-2 years,M,Permanent,0.58,23-26
1453,0-2 years,M,Non Permanent,0.65,23-26
1454,2-5 years,M,Permanent,0.8300000000000001,26-30
1455,0-2 years,M,Permanent,0.59,23-26
1456,0-2 years,M,Permanent,0.72,23-26
1457,0-2 years,F,Permanent,0.5,26-30
1458,0-2 years,M,Permanent,0.5700000000000001,23-26
1459,0-2 years,F,Permanent,0.75,23-26
1460,0-2 years,M,Permanent,0.61,23-26
1461,2-5 years,M,Permanent,0.52,23-26
1462,0-2 years,M,Permanent,0.6,23-26
1463,0-2 years,M,Non Permanent,0.47000000000000003,23-26
1464,0-2 years,M,Permanent,0.72,23-26
1465,0-2 years,M,Non Permanent,0.65,23-26
1466,0-2 years,M,Non Permanent,0.5,23-26
1467,0-2 years,M,Permanent,0.54,23-26
1468,2-5 years,M,Permanent,0.6,23-26
1469,0-2 years,M,Non Permanent,0.74,23-26
1470,0-2 years,M,Non Permanent,0.47000000000000003,23-26
1471,0-2 years,M,Non Permanent,0.65,23-26
1472,0-2 years,M,Permanent,0.58,23-26
1473,2-5 years,M,Permanent,0.74,23-26
1474,2-5 years,M,Permanent,0.78,26-30
1475,0-2 years,M,Non Permanent,0.29,26-30
1476,'+5 years,M,Non Permanent,0.54,23-26
1477,0-2 years,M,Permanent,0.44,23-26
1478,0-2 years,F,Permanent,0.72,23-26
1479,0-2 years,M,Permanent,0.77,23-26
1480,0-2 years,M,Non Permanent,0.64,26-30
1481,0-2 years,F,Permanent,0.67,23-26
1482,0-2 years,F,Permanent,0.6900000000000001,23-26
1483,2-5 years,F,Permanent,0.64,23-26
1484,0-2 years,M,Non Permanent,0.6900000000000001,26-30
1485,0-2 years,M,Non Permanent,0.47000000000000003,26-30
1486,2-5 years,M,Permanent,0.6900000000000001,30-35
1487,0-2 years,M,Permanent,0.67,26-30
1488,0-2 years,F,Permanent,0.58,23-26
1489,0-2 years,M,Permanent,0.48,23-26
1490,'+5 years,M,Permanent,0.71,23-26
1491,0-2 years,M,Non Permanent,0.48,23-26
1492,2-5 years,F,Permanent,0.53,23-26
1493,0-2 years,F,Permanent,0.78,23-26
1495,0-2 years,F,Permanent,0.45,26-30
1496,'+5 years,M,Permanent,0.66,23-26
1497,0-2 years,M,Permanent,0.6900000000000001,30-35
1498,0-2 years,M,Non Permanent,0.74,26-30
1499,2-5 years,F,Permanent,0.58,26-30
1500,0-2 years,M,Non Permanent,0.8300000000000001,26-30
1501,0-2 years,F,Permanent,0.72,23-26
1502,2-5 years,M,Permanent,0.67,23-26
1503,0-2 years,M,Permanent,0.62,23-26
1504,2-5 years,F,Permanent,0.43,23-26
1505,'+5 years,F,Permanent,0.58,26-30
1506,0-2 years,M,Permanent,0.54,26-30
1507,0-2 years,M,Permanent,0.66,23-26
1508,0-2 years,M,Permanent,0.34,26-30
1509,0-2 years,M,Non Permanent,0.8300000000000001,26-30
1510,0-2 years,F,Permanent,0.3,23-26
1511,0-2 years,M,Permanent,0.64,23-26
1512,2-5 years,F,Permanent,0.66,26-30
1513,0-2 years,M,Permanent,0.74,26-30
1514,0-2 years,M,Permanent,0.65,26-30
1515,'+5 years,M,Permanent,0.47000000000000003,23-26
1516,0-2 years,M,Permanent,0.53,23-26
1517,2-5 years,F,Permanent,0.7000000000000001,23-26
1518,2-5 years,M,Permanent,0.39,26-30
1519,0-2 years,M,Permanent,0.8300000000000001,23-26
1520,0-2 years,M,Permanent,0.68,26-30
1521,0-2 years,M,Non Permanent,0.78,23-26
1522,'+5 years,M,Permanent,0.72,30-35
1523,0-2 years,M,Permanent,0.68,23-26
1524,0-2 years,M,Non Permanent,0.5700000000000001,23-26
1525,0-2 years,F,Permanent,0.61,23-26
1526,'+5 years,F,Permanent,0.64,23-26
1527,2-5 years,M,Permanent,0.41000000000000003,26-30
1528,0-2 years,M,Permanent,0.66,23-26
1529,0-2 years,M,Permanent,0.78,23-26
1530,0-2 years,M,Permanent,0.42,23-26
1531,'+5 years,M,Permanent,0.78,23-26
1532,'+5 years,M,Permanent,0.77,26-30
1533,0-2 years,M,Permanent,0.6900000000000001,23-26
1534,0-2 years,M,Permanent,0.53,23-26
1535,0-2 years,M,Permanent,0.66,23-26
1536,0-2 years,M,Permanent,0.47000000000000003,23-26
1537,2-5 years,M,Permanent,0.61,30-35
1538,2-5 years,M,Permanent,0.8300000000000001,23-26
1539,2-5 years,F,Permanent,0.68,23-26
1540,0-2 years,M,Permanent,0.42,23-26
1541,0-2 years,M,Permanent,0.77,26-30
1542,0-2 years,M,Non Permanent,0.6900000000000001,23-26
1543,0-2 years,F,Permanent,0.8300000000000001,26-30
1544,'+5 years,F,Permanent,0.72,23-26
1545,2-5 years,M,Permanent,0.48,23-26
1546,2-5 years,M,Permanent,0.74,23-26
1547,2-5 years,F,Permanent,0.54,23-26
1548,0-2 years,M,Permanent,0.65,23-26
1550,0-2 years,M,Permanent,0.72,23-26
1551,0-2 years,F,Permanent,0.7000000000000001,23-26
1552,0-2 years,M,Permanent,0.8,30-35
1553,0-2 years,F,Permanent,0.47000000000000003,26-30
1555,0-2 years,F,Permanent,0.66,26-30
1556,0-2 years,F,Permanent,0.75,26-30
1557,0-2 years,F,Permanent,0.6,23-26
1558,0-2 years,F,Permanent,0.55,23-26
1559,2-5 years,F,Permanent,0.78,23-26
1560,0-2 years,F,Permanent,0.78,23-26
1561,0-2 years,M,Permanent,0.77,23-26
1562,0-2 years,M,Permanent,0.66,30-35
1563,0-2 years,F,Permanent,0.6900000000000001,23-26
1564,0-2 years,M,Permanent,0.77,26-30
1565,0-2 years,F,Non Permanent,0.74,23-26
1566,2-5 years,M,Permanent,0.75,23-26
1567,'+5 years,M,Permanent,0.7000000000000001,23-26
1568,0-2 years,M,Permanent,0.58,23-26
1569,'+5 years,F,Permanent,0.61,30-35
1570,0-2 years,M,Permanent,0.66,26-30
1571,0-2 years,M,Non Permanent,0.66,26-30
1572,0-2 years,F,Permanent,0.64,23-26
1573,0-2 years,M,Permanent,0.6900000000000001,23-26
1574,'+5 years,F,Permanent,0.6,26-30
1575,0-2 years,M,Permanent,0.8,26-30
1576,0-2 years,M,Non Permanent,0.66,23-26
1577,0-2 years,F,Permanent,0.76,23-26
1578,0-2 years,M,Permanent,0.47000000000000003,23-26
1579,2-5 years,M,Permanent,0.59,23-26
1580,2-5 years,F,Permanent,0.63,23-26
1581,2-5 years,F,Permanent,0.53,23-26
1582,2-5 years,F,Permanent,0.59,26-30
1583,0-2 years,M,Permanent,0.6900000000000001,23-26
1584,0-2 years,M,Permanent,0.61,23-26
1585,0-2 years,M,Permanent,0.74,23-26
1586,2-5 years,M,Permanent,0.66,23-26
1587,0-2 years,M,Permanent,0.52,30-35
1588,'+5 years,F,Permanent,0.66,26-30
1589,0-2 years,F,Permanent,0.61,30-35
1590,0-2 years,M,Permanent,0.66,26-30
1592,0-2 years,F,Permanent,0.31,23-26
1593,2-5 years,F,Permanent,0.76,26-30
1594,2-5 years,F,Permanent,0.47000000000000003,23-26
1595,'+5 years,M,Permanent,0.55,23-26
1596,0-2 years,M,Non Permanent,0.74,23-26
1597,2-5 years,F,Permanent,0.41000000000000003,23-26
1598,0-2 years,M,Permanent,0.71,23-26
1599,0-2 years,M,Permanent,0.8300000000000001,23-26
1600,2-5 years,M,Permanent,0.77,23-26
1601,0-2 years,F,Non Permanent,0.74,26-30
1602,0-2 years,M,Permanent,0.61,23-26
1603,'+5 years,F,Permanent,0.79,23-26
1604,0-2 years,F,Permanent,0.62,23-26
1605,0-2 years,M,Non Permanent,0.62,30-35
1606,0-2 years,F,Permanent,0.54,23-26
1607,2-5 years,M,Permanent,0.35000000000000003,23-26
1608,0-2 years,M,Permanent,0.46,23-26
1609,0-2 years,M,Permanent,0.28,23-26
1610,0-2 years,M,Permanent,0.75,30-35
1611,0-2 years,M,Permanent,0.74,23-26
1612,0-2 years,F,Permanent,0.53,23-26
1613,0-2 years,F,Non Permanent,0.66,26-30
1614,0-2 years,F,Permanent,0.68,23-26
1615,0-2 years,M,Non Permanent,0.59,23-26
1616,0-2 years,F,Permanent,0.61,23-26
1617,0-2 years,F,Permanent,0.31,23-26
1618,'+5 years,F,Permanent,0.49,23-26
1619,'+5 years,M,Permanent,0.73,23-26
1620,2-5 years,M,Permanent,0.68,23-26
1621,0-2 years,F,Permanent,0.67,26-30
1623,'+5 years,M,Permanent,0.62,23-26
1624,0-2 years,F,Permanent,0.42,23-26
1625,2-5 years,M,Permanent,0.67,30-35
1626,0-2 years,F,Permanent,0.68,23-26
1627,0-2 years,F,Permanent,0.41000000000000003,23-26
1628,0-2 years,M,Permanent,0.79,26-30
1629,0-2 years,M,Permanent,0.8300000000000001,23-26
1630,2-5 years,F,Permanent,0.77,23-26
1631,0-2 years,F,Permanent,0.64,23-26
1632,0-2 years,M,Non Permanent,0.39,23-26
1633,0-2 years,M,Permanent,0.56,30-35
1634,0-2 years,M,Permanent,0.66,23-26
1635,0-2 years,M,Non Permanent,0.74,23-26
1636,2-5 years,F,Permanent,0.6,23-26
1637,0-2 years,F,Non Permanent,0.64,23-26
1638,0-2 years,F,Non Permanent,0.76,23-26
1639,0-2 years,F,Permanent,0.8,23-26
1640,0-2 years,M,Non Permanent,0.61,23-26
1641,0-2 years,M,Permanent,0.77,23-26
1642,0-2 years,M,Permanent,0.64,23-26
1644,0-2 years,F,Permanent,0.46,23-26
1645,0-2 years,M,Permanent,0.72,23-26
1646,0-2 years,F,Non Permanent,0.49,23-26
1647,0-2 years,F,Permanent,0.52,23-26
1648,0-2 years,M,Permanent,0.6900000000000001,23-26
1649,0-2 years,M,Permanent,0.58,30-35
1650,0-2 years,M,Permanent,0.72,26-30
1651,0-2 years,M,Non Permanent,0.35000000000000003,23-26
1652,0-2 years,F,Permanent,0.48,23-26
1653,2-5 years,F,Permanent,0.61,23-26
1654,0-2 years,M,Non Permanent,0.6,23-26
1655,0-2 years,F,Permanent,0.78,23-26
1656,2-5 years,F,Permanent,0.6900000000000001,26-30
1657,0-2 years,M,Non Permanent,0.29,23-26
1658,0-2 years,M,Permanent,0.73,23-26
1659,2-5 years,F,Permanent,0.72,23-26
1660,2-5 years,F,Permanent,0.8300000000000001,23-26
1662,0-2 years,M,Permanent,0.46,26-30
1663,0-2 years,F,Permanent,0.64,23-26
1664,0-2 years,F,Permanent,0.53,26-30
1665,0-2 years,F,Non Permanent,0.66,23-26
1666,'+5 years,F,Permanent,0.78,23-26
1667,0-2 years,M,Permanent,0.68,26-30
1668,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1669,2-5 years,M,Permanent,0.8300000000000001,23-26
1670,'+5 years,M,Permanent,0.8,23-26
1672,0-2 years,M,Permanent,0.34,23-26
1673,0-2 years,M,Non Permanent,0.28,23-26
1674,0-2 years,M,Permanent,0.64,26-30
1675,'+5 years,F,Permanent,0.63,30-35
1676,0-2 years,M,Permanent,0.51,23-26
1677,0-2 years,F,Permanent,0.6900000000000001,23-26
1678,0-2 years,M,Permanent,0.5,23-26
1679,0-2 years,M,Non Permanent,0.68,26-30
1680,0-2 years,M,Permanent,0.76,23-26
1681,0-2 years,M,Permanent,0.8300000000000001,30-35
1682,0-2 years,M,Permanent,0.8300000000000001,23-26
1683,'+5 years,F,Permanent,0.77,23-26
1684,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1685,0-2 years,F,Non Permanent,0.36,23-26
1687,2-5 years,F,Permanent,0.59,30-35
1688,0-2 years,M,Permanent,0.63,26-30
1689,0-2 years,M,Permanent,0.61,23-26
1690,'+5 years,F,Permanent,0.6900000000000001,23-26
1691,'+5 years,M,Permanent,0.34,23-26
1692,2-5 years,M,Permanent,0.71,26-30
1693,0-2 years,M,Permanent,0.74,26-30
1694,0-2 years,M,Permanent,0.77,23-26
1695,2-5 years,M,Permanent,0.79,26-30
1696,2-5 years,F,Permanent,0.6900000000000001,23-26
1697,2-5 years,F,Permanent,0.5700000000000001,23-26
1698,0-2 years,M,Non Permanent,0.45,23-26
1699,0-2 years,F,Permanent,0.45,23-26
1700,0-2 years,F,Permanent,0.55,23-26
1701,0-2 years,F,Permanent,0.6900000000000001,26-30
1702,0-2 years,M,Permanent,0.51,23-26
1703,0-2 years,M,Permanent,0.58,23-26
1704,0-2 years,M,Permanent,0.77,23-26
1705,0-2 years,M,Permanent,0.66,23-26
1706,0-2 years,M,Permanent,0.58,23-26
1707,0-2 years,M,Non Permanent,0.68,23-26
1708,0-2 years,F,Non Permanent,0.77,26-30
1709,0-2 years,M,Permanent,0.28,23-26
1710,0-2 years,F,Permanent,0.64,23-26
1711,0-2 years,M,Permanent,0.55,23-26
1712,0-2 years,M,Permanent,0.65,23-26
1713,0-2 years,M,Non Permanent,0.53,23-26
1714,0-2 years,M,Non Permanent,0.55,23-26
1715,0-2 years,M,Non Permanent,0.58,23-26
1716,2-5 years,M,Permanent,0.6,23-26
1719,'+5 years,M,Permanent,0.73,23-26
1720,0-2 years,F,Non Permanent,0.33,23-26
1721,2-5 years,M,Permanent,0.77,26-30
1722,0-2 years,M,Permanent,0.8300000000000001,23-26
1723,'+5 years,M,Permanent,0.8300000000000001,23-26
1724,0-2 years,M,Permanent,0.41000000000000003,23-26
1725,0-2 years,M,Permanent,0.58,23-26
1726,0-2 years,F,Permanent,0.66,26-30
1727,0-2 years,M,Permanent,0.72,30-35
1728,'+5 years,M,Permanent,0.6,23-26
1729,0-2 years,F,Permanent,0.79,23-26
1730,2-5 years,F,Permanent,0.8300000000000001,23-26
1731,0-2 years,M,Permanent,0.8300000000000001,23-26
1732,0-2 years,F,Non Permanent,0.71,23-26
1733,0-2 years,F,Permanent,0.63,23-26
1734,0-2 years,M,Permanent,0.67,26-30
1735,0-2 years,F,Permanent,0.46,23-26
1736,0-2 years,M,Permanent,0.8,23-26
1737,0-2 years,F,Permanent,0.65,26-30
1738,0-2 years,M,Non Permanent,0.6,23-26
1739,0-2 years,M,Non Permanent,0.61,23-26
1740,0-2 years,M,Permanent,0.51,23-26
1741,0-2 years,F,Permanent,0.66,23-26
1742,0-2 years,M,Non Permanent,0.64,23-26
1743,0-2 years,F,Permanent,0.59,23-26
1744,'+5 years,M,Permanent,0.76,23-26
1745,0-2 years,F,Permanent,0.58,23-26
1746,0-2 years,M,Permanent,0.76,23-26
1747,0-2 years,M,Non Permanent,0.75,23-26
1748,0-2 years,F,Permanent,0.78,23-26
1749,'+5 years,F,Permanent,0.53,30-35
1750,0-2 years,M,Permanent,0.64,23-26
1751,0-2 years,F,Non Permanent,0.55,23-26
1752,0-2 years,M,Permanent,0.75,26-30
1753,0-2 years,M,Permanent,0.74,26-30
1754,0-2 years,M,Permanent,0.6,23-26
1755,2-5 years,F,Permanent,0.64,26-30
1756,'+5 years,M,Permanent,0.5,30-35
1757,0-2 years,M,Permanent,0.5700000000000001,23-26
1758,0-2 years,F,Permanent,0.61,26-30
1759,0-2 years,M,Permanent,0.5,23-26
1760,0-2 years,F,Permanent,0.55,23-26
1761,0-2 years,M,Permanent,0.8300000000000001,23-26
1762,'+5 years,M,Permanent,0.62,26-30
1763,0-2 years,F,Permanent,0.77,23-26
1764,'+5 years,M,Permanent,0.74,23-26
1765,0-2 years,M,Permanent,0.74,30-35
1766,2-5 years,M,Permanent,0.28,23-26
1767,0-2 years,M,Non Permanent,0.91,23-26
1768,0-2 years,F,Permanent,0.8300000000000001,30-35
1769,0-2 years,M,Permanent,0.55,23-26
1770,0-2 years,M,Permanent,0.47000000000000003,23-26
1771,0-2 years,F,Permanent,0.63,26-30
1772,0-2 years,M,Permanent,0.66,23-26
1773,0-2 years,F,Permanent,0.59,23-26
1774,0-2 years,F,Permanent,0.6900000000000001,23-26
1775,2-5 years,F,Permanent,0.74,26-30
1776,0-2 years,M,Permanent,0.36,30-35
1777,0-2 years,M,Permanent,0.63,26-30
1778,0-2 years,F,Non Permanent,0.6,23-26
1779,0-2 years,F,Permanent,0.6,23-26
1780,0-2 years,M,Permanent,0.54,23-26
1781,0-2 years,M,Permanent,0.66,30-35
1782,0-2 years,M,Non Permanent,0.44,23-26
1783,0-2 years,M,Permanent,0.55,23-26
1784,0-2 years,M,Non Permanent,0.38,23-26
1785,0-2 years,M,Permanent,0.65,23-26
1786,0-2 years,M,Permanent,0.8,26-30
1787,2-5 years,F,Permanent,0.76,23-26
1788,0-2 years,M,Permanent,0.33,23-26
1789,0-2 years,F,Permanent,0.77,23-26
1790,0-2 years,M,Permanent,0.6900000000000001,23-26
1791,0-2 years,M,Non Permanent,0.78,23-26
1792,2-5 years,F,Permanent,0.7000000000000001,23-26
1793,0-2 years,M,Permanent,0.68,23-26
1794,0-2 years,M,Non Permanent,0.49,23-26
1796,0-2 years,M,Permanent,0.66,23-26
1797,0-2 years,F,Non Permanent,0.66,26-30
1798,'+5 years,F,Permanent,0.63,30-35
1799,0-2 years,M,Permanent,0.91,23-26
1800,'+5 years,F,Permanent,0.6,30-35
1801,0-2 years,M,Non Permanent,0.64,26-30
1802,'+5 years,M,Non Permanent,0.74,23-26
1803,0-2 years,F,Permanent,0.74,23-26
1804,0-2 years,M,Permanent,0.74,23-26
1805,2-5 years,M,Permanent,0.34,26-30
1806,2-5 years,F,Permanent,0.6900000000000001,26-30
1807,2-5 years,M,Permanent,0.31,23-26
1808,0-2 years,M,Permanent,0.72,23-26
1809,2-5 years,M,Permanent,0.76,23-26
1810,0-2 years,F,Permanent,0.8300000000000001,23-26
1811,'+5 years,F,Permanent,0.79,23-26
1812,'+5 years,M,Permanent,0.56,26-30
1813,0-2 years,M,Permanent,0.47000000000000003,23-26
1814,0-2 years,M,Non Permanent,0.51,30-35
1815,0-2 years,F,Permanent,0.6,23-26
1816,0-2 years,M,Permanent,0.91,23-26
1817,2-5 years,M,Permanent,0.8,23-26
1818,0-2 years,M,Permanent,0.58,23-26
1819,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1820,'+5 years,F,Permanent,0.8300000000000001,30-35
1821,0-2 years,M,Permanent,0.8300000000000001,23-26
1822,0-2 years,F,Permanent,0.71,23-26
1823,0-2 years,M,Non Permanent,0.72,26-30
1824,0-2 years,F,Permanent,0.91,23-26
1825,0-2 years,F,Non Permanent,0.53,23-26
1826,0-2 years,M,Non Permanent,0.65,23-26
1827,0-2 years,F,Permanent,0.52,26-30
1828,2-5 years,M,Permanent,0.74,23-26
1829,0-2 years,M,Non Permanent,0.5,23-26
1830,0-2 years,F,Permanent,0.66,23-26
1831,0-2 years,M,Permanent,0.74,23-26
1832,2-5 years,F,Permanent,0.61,23-26
1833,2-5 years,F,Permanent,0.72,26-30
1834,0-2 years,F,Permanent,0.46,23-26
1835,'+5 years,M,Permanent,0.63,23-26
1836,0-2 years,M,Permanent,0.74,23-26
1837,0-2 years,F,Permanent,0.8300000000000001,23-26
1838,2-5 years,M,Permanent,0.91,23-26
1839,0-2 years,F,Permanent,0.66,23-26
1840,0-2 years,F,Permanent,0.68,26-30
1841,0-2 years,M,Non Permanent,0.72,23-26
1842,0-2 years,F,Permanent,0.47000000000000003,26-30
1843,0-2 years,M,Permanent,0.6900000000000001,23-26
1844,'+5 years,F,Permanent,0.79,30-35
1845,0-2 years,M,Permanent,0.61,26-30
1847,2-5 years,F,Permanent,0.47000000000000003,26-30
1848,2-5 years,F,Permanent,0.6900000000000001,23-26
1849,0-2 years,M,Non Permanent,0.63,23-26
1850,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1851,0-2 years,M,Permanent,0.73,23-26
1852,2-5 years,F,Permanent,0.72,23-26
1853,0-2 years,F,Permanent,0.66,23-26
1854,0-2 years,M,Permanent,0.91,23-26
1855,0-2 years,M,Permanent,0.91,26-30
1856,0-2 years,M,Permanent,0.33,23-26
1857,0-2 years,M,Non Permanent,0.44,23-26
1858,0-2 years,M,Non Permanent,0.35000000000000003,23-26
1859,0-2 years,M,Non Permanent,0.53,26-30
1860,0-2 years,F,Permanent,0.67,23-26
1861,0-2 years,M,Non Permanent,0.6,23-26
1862,0-2 years,M,Permanent,0.61,23-26
1863,0-2 years,M,Permanent,0.58,23-26
1864,'+5 years,M,Permanent,0.44,30-35
1865,0-2 years,M,Permanent,0.4,23-26
1866,2-5 years,M,Permanent,0.6,26-30
1867,2-5 years,F,Permanent,0.6,30-35
1868,0-2 years,F,Permanent,0.74,23-26
1869,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1870,0-2 years,M,Non Permanent,0.72,23-26
1871,0-2 years,F,Permanent,0.8300000000000001,23-26
1873,0-2 years,M,Permanent,0.59,23-26
1874,0-2 years,M,Non Permanent,0.4,23-26
1875,0-2 years,M,Non Permanent,0.72,23-26
1876,0-2 years,M,Permanent,0.66,26-30
1877,0-2 years,F,Permanent,0.6900000000000001,23-26
1878,2-5 years,F,Permanent,0.63,23-26
1879,0-2 years,M,Permanent,0.31,23-26
1880,0-2 years,M,Permanent,0.77,23-26
1881,2-5 years,F,Permanent,0.58,30-35
1882,0-2 years,M,Non Permanent,0.66,23-26
1883,0-2 years,M,Non Permanent,0.6,26-30
1884,0-2 years,F,Permanent,0.66,23-26
1885,'+5 years,M,Permanent,0.52,23-26
1886,'+5 years,M,Permanent,0.75,23-26
1887,0-2 years,M,Non Permanent,0.64,23-26
1888,0-2 years,M,Permanent,0.64,23-26
1889,0-2 years,M,Non Permanent,0.47000000000000003,23-26
1890,0-2 years,M,Non Permanent,0.58,23-26
1891,2-5 years,F,Permanent,0.64,23-26
1892,0-2 years,F,Permanent,0.74,23-26
1893,2-5 years,F,Permanent,0.59,23-26
1894,0-2 years,M,Permanent,0.6900000000000001,26-30
1895,2-5 years,F,Permanent,0.61,26-30
1896,'+5 years,F,Permanent,0.74,30-35
1897,0-2 years,M,Non Permanent,0.8,23-26
1898,0-2 years,F,Non Permanent,0.66,23-26
1899,0-2 years,F,Permanent,0.35000000000000003,23-26
1900,0-2 years,F,Permanent,0.6900000000000001,26-30
1901,0-2 years,M,Permanent,0.74,23-26
1902,0-2 years,M,Permanent,0.62,26-30
1904,0-2 years,M,Permanent,0.66,23-26
1905,0-2 years,M,Non Permanent,0.62,23-26
1906,0-2 years,M,Permanent,0.66,23-26
1907,0-2 years,M,Permanent,0.6900000000000001,23-26
1908,2-5 years,M,Permanent,0.73,23-26
1909,2-5 years,F,Permanent,0.66,26-30
1910,0-2 years,M,Permanent,0.61,23-26
1911,0-2 years,M,Permanent,0.76,23-26
1912,0-2 years,M,Permanent,0.6900000000000001,23-26
1913,2-5 years,M,Permanent,0.78,26-30
1914,0-2 years,M,Permanent,0.8300000000000001,23-26
1915,0-2 years,M,Permanent,0.72,23-26
1916,0-2 years,M,Permanent,0.6900000000000001,23-26
1917,0-2 years,M,Permanent,0.8300000000000001,23-26
1918,0-2 years,F,Permanent,0.34,23-26
1919,'+5 years,M,Permanent,0.63,23-26
1920,0-2 years,M,Non Permanent,0.8300000000000001,23-26
1921,'+5 years,F,Permanent,0.41000000000000003,23-26
1922,0-2 years,F,Permanent,0.74,23-26
1923,0-2 years,M,Permanent,0.64,23-26
1924,0-2 years,M,Non Permanent,0.6900000000000001,23-26
1926,0-2 years,F,Permanent,0.45,23-26
1927,0-2 years,F,Permanent,0.8300000000000001,23-26
1928,0-2 years,F,Permanent,0.8300000000000001,23-26
1929,0-2 years,M,Permanent,0.53,23-26
1930,2-5 years,M,Permanent,0.71,30-35
1931,0-2 years,M,Permanent,0.79,23-26
1932,0-2 years,M,Permanent,0.22,26-30
1933,0-2 years,M,Permanent,0.52,23-26
1934,0-2 years,M,Non Permanent,0.5,23-26
1935,'+5 years,M,Permanent,0.8,26-30
1936,0-2 years,F,Non Permanent,0.75,26-30
1937,0-2 years,F,Permanent,0.91,23-26
1938,0-2 years,F,Permanent,0.78,23-26
1939,2-5 years,M,Permanent,0.34,30-35
1940,0-2 years,F,Permanent,0.66,26-30
1941,0-2 years,M,Permanent,0.91,23-26
1942,'+5 years,M,Permanent,0.47000000000000003,30-35
1943,0-2 years,M,Non Permanent,0.8300000000000001,26-30
1944,2-5 years,M,Permanent,0.91,26-30
1945,2-5 years,M,Permanent,0.75,26-30
1946,2-5 years,F,Permanent,0.91,23-26
1947,0-2 years,M,Permanent,0.8300000000000001,23-26
1948,0-2 years,M,Permanent,0.5,30-35
1949,0-2 years,M,Non Permanent,0.91,23-26
1950,0-2 years,M,Permanent,0.91,23-26
1951,0-2 years,M,Permanent,0.6900000000000001,30-35
1952,'+5 years,M,Permanent,0.8300000000000001,23-26
1953,2-5 years,F,Permanent,0.6,23-26
1954,0-2 years,F,Permanent,0.73,23-26
1955,0-2 years,F,Permanent,0.74,23-26
1956,0-2 years,M,Permanent,0.28,23-26
1957,0-2 years,F,Non Permanent,0.61,26-30
1958,0-2 years,M,Non Permanent,0.5700000000000001,23-26
1959,0-2 years,M,Permanent,0.66,23-26
1960,0-2 years,M,Permanent,0.49,23-26
1961,2-5 years,M,Permanent,0.8300000000000001,26-30
1962,2-5 years,M,Permanent,0.55,23-26
1963,0-2 years,F,Permanent,0.91,23-26
1964,0-2 years,F,Permanent,0.74,30-35
1965,0-2 years,M,Non Permanent,0.5,23-26
1966,0-2 years,M,Permanent,0.91,23-26
1967,0-2 years,F,Permanent,0.52,23-26
1968,2-5 years,F,Permanent,0.77,23-26
1969,2-5 years,M,Permanent,0.66,23-26
1970,0-2 years,M,Permanent,0.8,26-30
1971,0-2 years,M,Permanent,0.77,23-26
1972,0-2 years,M,Permanent,0.8300000000000001,23-26
1973,0-2 years,F,Permanent,0.79,26-30
1974,2-5 years,F,Permanent,0.78,30-35
1975,0-2 years,M,Permanent,0.91,23-26
1976,'+5 years,M,Permanent,0.91,23-26
1977,2-5 years,M,Permanent,0.74,23-26
1978,0-2 years,F,Permanent,0.79,23-26
